timestamp,motor_temp,voltage,pressure,flow_rate,vibration,current,risk,status
2026-05-17 23:45:53,53.23,186.26,63.27,4.32,0.73,12.96,0,NORMAL
2026-05-17 23:45:56,120,186.84,95.13,3.59,2.24,16.26,55,WARNING
2026-05-17 23:45:58,53.83,187.36,63.42,4.21,0.72,13.37,0,NORMAL
2026-05-17 23:46:01,120,186.71,95.99,3.66,2.25,16.26,55,WARNING
2026-05-17 23:46:03,62.55,188.25,63.76,4.35,0.63,13.76,0,NORMAL
2026-05-17 23:46:06,119.84,185.35,95.56,3.68,2.34,16.76,55,WARNING
2026-05-17 23:46:08,71.85,189.97,64.87,4.37,0.61,13.32,0,NORMAL
2026-05-17 23:46:11,120,184.25,97.24,3.52,2.53,16.63,55,WARNING
2026-05-17 23:46:13,71.91,189.32,66.21,4.48,0.78,12.92,0,NORMAL
2026-05-17 23:46:16,119.92,183.78,120,3.69,2.53,16.86,75,FAILURE
2026-05-17 23:46:18,73.69,187.36,67.25,4.47,0.89,13.04,0,NORMAL
2026-05-17 23:46:21,106.59,185.14,111.12,3.58,1.65,16.96,50,WARNING
2026-05-17 23:46:23,74.52,185.65,66.14,4.51,0.82,13.35,0,NORMAL
2026-05-17 23:46:26,108.4,185.74,120,3.46,1.66,17.09,50,WARNING
2026-05-17 23:46:28,77.3,186.56,66.16,4.42,0.76,13.33,0,NORMAL
2026-05-17 23:46:31,98.89,183.96,111.19,3.42,0.98,16.85,50,WARNING
2026-05-17 23:46:33,76.42,185.59,67.54,4.24,0.74,13.35,0,NORMAL
2026-05-17 23:46:36,109.61,184.32,112.53,3.55,1.03,16.88,50,WARNING
2026-05-17 23:46:38,59.11,186.66,52.76,4.22,0.5,13.38,0,NORMAL
2026-05-17 23:46:41,118.8,183.29,114.21,3.41,0.95,16.47,50,WARNING
2026-05-17 23:46:43,50,186.32,50,4.07,0.5,13.64,0,NORMAL
2026-05-17 23:46:46,118.04,182.4,113.12,3.44,0.92,16.5,50,WARNING
2026-05-17 23:46:48,51.11,186.86,50,4.01,0.5,13.38,0,NORMAL
2026-05-17 23:46:51,119.12,183.46,120,3.41,1.01,16.4,50,WARNING
2026-05-17 23:46:56,120,183.84,120,3.4,2.93,16.51,75,FAILURE
2026-05-17 23:47:01,119.71,184.55,120,3.54,2.84,16.63,75,FAILURE
2026-05-17 23:47:06,120,183.29,119.38,3.48,3,16.5,75,FAILURE
2026-05-17 23:47:11,104.3,184.77,106.56,3.39,2.06,16.87,75,FAILURE
2026-05-17 23:47:16,107.08,184.91,120,3.2,1.97,16.75,50,WARNING
2026-05-17 23:47:21,120,185.07,120,3.02,3,17.07,75,FAILURE
2026-05-17 23:47:26,120,184.99,120,3.01,3,17.23,75,FAILURE
2026-05-17 23:47:31,119.81,185.65,120,3.01,3,16.75,75,FAILURE
2026-05-17 23:47:36,105.51,187.12,103.12,3.2,2.51,17.16,75,FAILURE
2026-05-17 23:47:41,120,187.18,103.13,3.37,3,17.33,75,FAILURE
2026-05-17 23:47:46,120,185.3,102.52,3.23,3,17.31,75,FAILURE
2026-05-17 23:47:51,120,187.11,101.93,3.41,2.98,17.29,75,FAILURE
2026-05-17 23:47:56,120,188.2,103.64,3.55,2.91,17.59,75,FAILURE
2026-05-17 23:48:01,120,187.76,105.3,3.54,2.82,17.87,75,FAILURE
2026-05-17 23:48:06,120,185.92,105.11,3.5,2.82,17.96,75,FAILURE
2026-05-17 23:48:11,120,185.59,104.79,3.62,3,17.55,75,FAILURE
2026-05-17 23:48:16,120,186.49,106.05,3.58,3,17.09,75,FAILURE
2026-05-17 23:48:21,101.75,188.33,93.27,3.48,2.0,17.56,55,WARNING
2026-05-17 23:48:26,111.36,188.97,94.54,3.5,2.13,17.2,55,WARNING
2026-05-17 23:48:31,113.1,187.25,95.89,3.33,2.13,17.52,55,WARNING
2026-05-17 23:48:36,113.53,187.28,96.85,3.26,2.03,17.86,55,WARNING
2026-05-17 23:48:41,120,188.04,98.6,3.33,2.03,17.37,55,WARNING
2026-05-17 23:48:46,120,187.92,98.46,3.28,2.06,17.39,55,WARNING
2026-05-17 23:48:51,120,188.37,99.15,3.16,3,17.62,55,WARNING
2026-05-17 23:48:56,120,188.75,100.24,3.14,3,17.78,75,FAILURE
2026-05-17 23:49:01,120,190.31,101.36,3.21,3,17.57,75,FAILURE
2026-05-17 23:49:06,120,188.84,100.85,3.06,2.94,18.06,75,FAILURE
2026-05-17 23:49:11,120,190.35,100.85,2.9,2.85,18.0,75,FAILURE
2026-05-17 23:49:16,120,188.6,100.05,2.9,2.93,18.38,75,FAILURE
2026-05-17 23:49:21,120,187.62,100.09,2.93,3,18.32,75,FAILURE
2026-05-17 23:49:26,120,189.26,101.95,3.04,3,18.09,75,FAILURE
2026-05-17 23:49:31,120,187.95,100.93,2.84,3,18.58,75,FAILURE
2026-05-17 23:49:36,120,186.01,102.04,2.76,3,18.12,75,FAILURE
2026-05-17 23:49:41,102.08,187.71,90.74,2.82,2.29,18.03,55,WARNING
2026-05-17 23:49:47,102.84,186.09,89.7,2.85,2.23,17.66,55,WARNING
2026-05-17 23:49:52,120,185.3,90.09,2.86,3,17.66,55,WARNING
2026-05-17 23:49:57,110.41,185.91,71.78,2.83,2.12,17.69,55,WARNING
2026-05-17 23:50:02,101.58,186.17,61.6,2.67,1.25,17.5,30,NORMAL
2026-05-17 23:50:07,102.35,184.66,96.16,2.78,1.19,17.0,30,NORMAL
2026-05-17 23:50:12,104.02,185.11,94.99,2.74,1.1,17.25,30,NORMAL
2026-05-17 23:50:17,104.07,183.81,93.91,2.7,1.24,17.17,30,NORMAL
2026-05-17 23:50:22,105.95,183.69,93.58,2.54,1.16,17.6,30,NORMAL
2026-05-17 23:50:27,115.31,182.87,95.4,2.49,1.13,17.73,30,NORMAL
2026-05-17 23:50:32,98.15,184.13,75.5,2.54,0.5,17.34,30,NORMAL
2026-05-17 23:50:37,106.03,182.98,76.94,2.67,0.63,17.22,30,NORMAL
2026-05-17 23:50:42,96.98,184.1,61.42,2.79,0.5,16.76,30,NORMAL
2026-05-17 23:50:47,82.48,182.12,50,2.93,0.5,16.5,0,NORMAL
2026-05-17 23:50:52,90.89,182.08,50,2.94,0.6,16.33,30,NORMAL
2026-05-17 23:50:57,99.83,181.92,50.6,3.12,0.75,16.53,30,NORMAL
2026-05-17 23:51:02,100.02,180.8,50,3.08,0.84,16.23,30,NORMAL
2026-05-17 23:51:07,81.97,180.04,50,3.18,0.5,16.51,0,NORMAL
2026-05-17 23:51:12,89.15,179.74,50.99,3.29,0.56,16.92,0,NORMAL
2026-05-17 23:51:17,109.68,179.62,50,3.28,2.22,17.27,55,WARNING
2026-05-17 23:51:22,120,179.6,50,3.2,2.31,16.97,55,WARNING
2026-05-17 23:51:27,120,180.38,50,3.2,3,16.49,55,WARNING
2026-05-17 23:51:32,119.48,181.41,50.28,3.17,2.97,16.5,55,WARNING
2026-05-17 23:51:37,120,179.64,51.93,3.06,2.93,16.04,55,WARNING
2026-05-17 23:51:42,120,180.86,53.86,3.24,3,16.26,55,WARNING
2026-05-17 23:51:47,120,178.94,52.84,3.44,2.97,15.91,55,WARNING
2026-05-17 23:51:52,120,177.86,53.62,3.52,2.99,16.08,55,WARNING
2026-05-17 23:51:57,120,178.29,53.76,3.6,3,15.97,55,WARNING
2026-05-17 23:52:02,120,179.75,92.17,3.4,2.98,15.82,55,WARNING
2026-05-17 23:52:07,109.51,181.09,76.19,3.24,2.32,16.0,55,WARNING
2026-05-17 23:52:12,112.13,180.11,75.74,3.39,2.5,15.87,55,WARNING
2026-05-17 23:52:17,99.03,181.07,62.38,3.41,2.04,16.02,55,WARNING
2026-05-17 23:52:22,90.1,180.71,50,3.21,1.19,16.51,30,NORMAL
2026-05-17 23:52:27,99.54,181.41,50,3.33,1.35,16.45,30,NORMAL
2026-05-17 23:52:32,101.87,179.49,50,3.24,1.42,16.08,30,NORMAL
2026-05-17 23:52:37,107.48,177.95,51.99,3.33,1.38,16.24,30,NORMAL
2026-05-17 23:52:42,109.19,177.41,84.0,3.19,1.36,16.71,30,NORMAL
2026-05-17 23:52:47,120,177.13,85.68,3.34,3,16.39,55,WARNING
2026-05-17 23:52:52,120,178.6,85.04,3.4,3,16.44,55,WARNING
2026-05-17 23:52:57,120,178.86,86.24,3.32,2.92,16.78,55,WARNING
2026-05-17 23:53:02,120,179.3,85.44,3.37,2.84,16.37,55,WARNING
2026-05-17 23:53:07,120,179.35,85.88,3.49,2.98,16.57,55,WARNING
2026-05-17 23:53:12,120,178.12,84.77,3.38,2.93,16.6,55,WARNING
2026-05-17 23:53:17,120,177.42,84.99,3.22,2.87,16.24,55,WARNING
2026-05-17 23:53:22,119.99,178.88,86.55,3.25,3,15.9,55,WARNING
2026-05-17 23:53:27,120,177.91,87.05,3.35,3,15.64,55,WARNING
2026-05-17 23:53:32,120,177.25,88.95,3.24,3,15.69,55,WARNING
2026-05-17 23:53:37,120,175.42,120,3.27,3,16.1,75,FAILURE
2026-05-17 23:53:42,120,176.58,120,3.35,2.91,16.02,75,FAILURE
2026-05-17 23:53:47,120,175.72,118.97,3.18,3,15.68,75,FAILURE
2026-05-17 23:53:52,107.39,175.93,102.2,3.05,2.04,15.87,75,FAILURE
2026-05-17 23:53:57,119.06,176.22,100.87,3.05,2.14,15.69,75,FAILURE
2026-05-17 23:54:02,120,176.62,100.65,2.95,2.2,15.32,75,FAILURE
2026-05-17 23:54:07,120,175.11,120,2.83,2.16,15.2,75,FAILURE
2026-05-17 23:54:12,120,174.82,119.25,2.72,2.12,15.65,75,FAILURE
2026-05-17 23:54:17,120,175.14,120,2.63,2.06,15.55,75,FAILURE
2026-05-17 23:54:22,120,175.43,120,2.69,2.17,15.55,75,FAILURE
2026-05-17 23:54:27,110.57,174.6,99.83,2.79,1.36,15.78,30,RECOVERY
2026-05-17 23:54:32,119.05,176.59,101.33,2.74,1.49,15.88,50,WARNING
2026-05-17 23:54:37,120,177.16,100.33,2.58,1.67,15.87,50,WARNING
2026-05-17 23:54:42,120,176.96,120,2.78,1.59,15.78,50,WARNING
2026-05-17 23:54:47,120,175.6,119.75,2.84,1.57,16.23,50,WARNING
